character,pinyin,pinyin_plain,pinyin_initial,definition_en,lookup_category,frequency_tier,learning_band,frequency_rank,token,frequency_per_million,coverage_rate_pct,rank_3500,rank_7000,in_3500,in_7000,in_corpus,source
碎,suì,sui,S,(transitive or intransitive) to break into pieces; to shatter; to crumble; broken; fragmentary; scattered; garrulous,Actions,Top 1200,General 3500,1169.0,220325.0,116.06298794326145,91.1137799408662,2202.0,3976.0,True,True,True,"3500, 7000, corpus"
遂,suì,sui,S,used in 半身不遂[ban4 shen1 bu4 sui2]; Taiwan pr. [sui4],General Reference,Top 2500,General 3500,2244.0,54528.0,28.724305487666676,97.79614625682252,3143.0,5940.0,True,True,True,"3500, 7000, corpus"
髓,suǐ,sui,S,(bound form) bone marrow; (fig.) innermost part; (botany) pith,Numbers & Measures,Top 3500+,General 3500,3063.0,18935.0,9.974595151279498,99.24740723476398,3443.0,6726.0,True,True,True,"3500, 7000, corpus"
祟,suì,sui,S,evil spirit,General Reference,Top 3500+,General 3500,3186.0,16287.0,8.57967949452808,99.36133454783732,2227.0,4038.0,True,True,True,"3500, 7000, corpus"
穗,suì,sui,S,abbr. for Guangzhou 廣州|广州[Guang3 zhou1],General Reference,Top 3500+,General 3500,3281.0,13995.0,7.372297815799133,99.43722817911275,2274.0,4114.0,True,True,True,"3500, 7000, corpus"
隧,suì,sui,S,tunnel; underground passage,General Reference,Top 3500+,General 7000,3624.0,9003.0,4.742607876787395,99.63966067812747,3319.0,6441.0,True,True,True,"3500, 7000, corpus"
孙,sūn,sun,S,surname Sun,General Reference,Top 1200,General 3500,763.0,421364.0,221.96648066140662,84.58669249620606,801.0,1333.0,True,True,True,"3500, 7000, corpus"
损,sǔn,sun,S,(bound form) to decrease; to diminish; (bound form) to harm; to damage; (coll.) to ridicule; to deride; (coll.) mean; nasty; sarcastic,Actions,Top 2500,General 3500,1414.0,160063.0,84.31812113542384,93.55346751220885,1291.0,2132.0,True,True,True,"3500, 7000, corpus"
笋,sǔn,sun,S,bamboo shoot,General Reference,Top 3500+,General 7000,3784.0,7472.0,3.9361064151233385,99.70941494213652,2307.0,4170.0,True,True,True,"3500, 7000, corpus"
所,suǒ,suo,S,"actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]",Places & Movement,Top 100,Zero Beginner,94.0,3534172.0,1861.7340847630192,46.28528787619274,1173.0,1980.0,True,True,True,"3500, 7000, corpus"
索,suǒ,suo,S,"surname Suo; abbr. for 索馬里|索马里[Suo3 ma3 li3], Somalia",General Reference,Top 1200,General 3500,909.0,329201.0,173.41677836790927,87.45214709705874,2376.0,4323.0,True,True,True,"3500, 7000, corpus"
缩,suō,suo,S,to withdraw; to pull back; to contract; to shrink; to reduce; abbreviation; also pr. [su4],Business & Work,Top 2500,General 3500,1483.0,146921.0,77.39516737370664,94.10902817753856,2450.0,4463.0,True,True,True,"3500, 7000, corpus"
锁,suǒ,suo,S,to lock; to lock up; a lock (CL:把[ba3]),Actions,Top 2500,General 3500,1552.0,133243.0,70.18985908328145,94.61583896385669,3233.0,6226.0,True,True,True,"3500, 7000, corpus"
嗦,suo,suo,S,to suck; used in 囉嗦|啰嗦[luo1 suo5]; used in 哆嗦[duo1 suo5],Actions,Top 2500,General 3500,2352.0,47528.0,25.036839627674254,98.08405890282128,594.0,898.0,True,True,True,"3500, 7000, corpus"
梭,suō,suo,S,(textiles) shuttle,General Reference,Top 3500+,General 3500,2674.0,31489.0,16.587801780757335,98.74450416137391,1596.0,2633.0,True,True,True,"3500, 7000, corpus"
琐,suǒ,suo,S,fragmentary; trifling,General Reference,Top 3500+,General 3500,2927.0,22361.0,11.779346299327218,99.10019142899576,2027.0,3565.0,True,True,True,"3500, 7000, corpus"
唆,suō,suo,S,(bound form) to incite; to instigate,Actions,Top 3500+,General 7000,3811.0,7269.0,3.829169905183558,99.71991652883727,554.0,800.0,True,True,True,"3500, 7000, corpus"
他,tā,ta,T,"(third-person singular) (since the early 20th century, usu. male) he; him; his; (bound form) other; another; some other (as in 他日[ta1 ri4] and 他人[ta1 ren2])",People & Pronouns,Top 100,Zero Beginner,11.0,17596473.0,9269.48477768263,17.310191830086463,101.0,122.0,True,True,True,"3500, 7000, corpus"
她,tā,ta,T,she,People & Pronouns,Top 100,Zero Beginner,33.0,7870163.0,4145.851053582219,29.397156909036735,743.0,1201.0,True,True,True,"3500, 7000, corpus"
它,tā,ta,T,it,People & Pronouns,Top 300,HSK2 Expansion,270.0,1298568.0,684.0607381255197,65.62981405911255,811.0,1354.0,True,True,True,"3500, 7000, corpus"
塔,tǎ,ta,T,"pagoda (abbr. for 塔婆[ta3 po2], a loanword from Sanskrit stūpa); tower; pylon (CL:座[zuo4]); (loanword) (pastry) tart",Places & Movement,Top 2500,General 3500,1336.0,178293.0,93.92133579651838,92.86059230836965,683.0,1114.0,True,True,True,"3500, 7000, corpus"
踏,tà,ta,T,see 踏實|踏实[ta1 shi5],Actions,Top 2500,General 3500,1520.0,139340.0,73.40164184733484,94.38588148128625,3041.0,5742.0,True,True,True,"3500, 7000, corpus"
塌,tā,ta,T,to collapse; to droop; to settle down,Actions,Top 2500,General 3500,2275.0,51754.0,27.263015445435393,97.88281587493687,681.0,1111.0,True,True,True,"3500, 7000, corpus"
蹋,tà,ta,T,to step on,Actions,Top 3500+,General 7000,3636.0,8940.0,4.709420684047463,99.64532747030493,3049.0,5769.0,True,True,True,"3500, 7000, corpus"
太,tài,tai,T,highest; greatest; too (much); very; extremely,Actions,Top 300,HSK2 Expansion,180.0,1962845.0,1033.989132279546,58.18330235809328,714.0,1164.0,True,True,True,"3500, 7000, corpus"
台,tái,tai,T,Taiwan (abbr.); surname Tai,General Reference,Top 600,HSK3 Expansion,511.0,676961.0,356.6100822923328,77.54865929904663,456.0,644.0,True,True,True,"3500, 7000, corpus"
态,tài,tai,T,(bound form); appearance; shape; form; state; attitude; (grammar) voice,General Reference,Top 1200,General 3500,684.0,478661.0,252.1494422871189,82.71693464376597,1067.0,1779.0,True,True,True,"3500, 7000, corpus"
抬,tái,tai,T,to lift; to raise; (of two or more persons) to carry,People & Pronouns,Top 1200,General 3500,868.0,352793.0,185.844591877758,86.71533884550469,1218.0,2038.0,True,True,True,"3500, 7000, corpus"
泰,tài,tai,T,Mt Tai 泰山[Tai4 Shan1] in Shandong; abbr. for Thailand,Actions,Top 2500,General 3500,1528.0,138290.0,72.84852196833599,94.44438360125777,1755.0,2963.0,True,True,True,"3500, 7000, corpus"
胎,tāi,tai,T,fetus; classifier for litters (of puppies etc); padding (in clothing or bedding); womb carrying a fetus; (fig.) origin; source; (loanword) tire,Numbers & Measures,Top 2500,General 3500,2246.0,54438.0,28.676895212323917,97.80188395370068,2538.0,4640.0,True,True,True,"3500, 7000, corpus"
汰,tài,tai,T,to discard; to eliminate,Actions,Top 3500+,General 3500,3261.0,14511.0,7.644116727764288,99.42223620720004,1717.0,2891.0,True,True,True,"3500, 7000, corpus"
苔,tái,tai,T,used in 舌苔[she2 tai1],General Reference,Top 3500+,General 7000,3728.0,8045.0,4.237951834805576,99.68642375053372,2641.0,4855.0,True,True,True,"3500, 7000, corpus"
谈,tán,tan,T,surname Tan,General Reference,Top 1200,General 3500,618.0,536829.0,282.7912300219816,80.96258609692832,2932.0,5543.0,True,True,True,"3500, 7000, corpus"
叹,tàn,tan,T,to sigh; to exclaim,Actions,Top 1200,General 3500,762.0,421997.0,222.29993293131736,84.56449584813991,462.0,652.0,True,True,True,"3500, 7000, corpus"
探,tàn,tan,T,to explore; to search out; to scout; to visit; to stretch forward,Actions,Top 1200,General 3500,1019.0,272677.0,143.64101832930763,89.17970541425228,1312.0,2159.0,True,True,True,"3500, 7000, corpus"
坦,tǎn,tan,T,flat; open-hearted; level; smooth,Actions,Top 2500,General 3500,1442.0,154240.0,81.25067632074729,93.78550962458614,651.0,1029.0,True,True,True,"3500, 7000, corpus"
贪,tān,tan,T,to have a voracious desire for; to covet; greedy; corrupt,Actions,Top 2500,General 3500,1869.0,85988.0,45.2968306241469,96.41995792222178,2973.0,5623.0,True,True,True,"3500, 7000, corpus"
坛,tán,tan,T,"altar; platform; rostrum; (bound form) (sporting, literary etc) circles; world",General Reference,Top 2500,General 3500,1985.0,74267.0,39.12243243200816,96.91232495744438,644.0,1021.0,True,True,True,"3500, 7000, corpus"
摊,tān,tan,T,to spread out; vendor's stand,Actions,Top 2500,General 3500,2074.0,67974.0,35.807400623874976,97.24594147762014,1351.0,2229.0,True,True,True,"3500, 7000, corpus"
滩,tān,tan,T,"beach; shoal; rapids; CL:片[pian4]; classifier for liquids: pool, puddle",Numbers & Measures,Top 2500,General 3500,2305.0,49853.0,26.261605074028882,97.96316528192335,1864.0,3188.0,True,True,True,"3500, 7000, corpus"
谭,tán,tan,T,surname Tan,General Reference,Top 2500,General 3500,2334.0,48779.0,25.695842454938614,98.03848967382628,2948.0,5577.0,True,True,True,"3500, 7000, corpus"
潭,tán,tan,T,surname Tan,General Reference,Top 3500+,General 3500,2571.0,35887.0,18.904583902506857,98.56215997548084,1879.0,3222.0,True,True,True,"3500, 7000, corpus"
瘫,tān,tan,T,paralyzed,General Reference,Top 3500+,General 3500,2755.0,28249.0,14.881031868417985,98.87147746526945,2104.0,3764.0,True,True,True,"3500, 7000, corpus"
毯,tǎn,tan,T,blanket; rug,General Reference,Top 3500+,General 3500,2822.0,25831.0,13.607275804209175,98.96664832521172,1692.0,2831.0,True,True,True,"3500, 7000, corpus"
炭,tàn,tan,T,wood charcoal; coal,General Reference,Top 3500+,General 3500,3049.0,19147.0,10.086272688753555,99.23338264318058,1908.0,3292.0,True,True,True,"3500, 7000, corpus"
檀,tán,tan,T,surname Tan,General Reference,Top 3500+,General 3500,3358.0,12516.0,6.593188957666448,99.4908780681153,1647.0,2753.0,True,True,True,"3500, 7000, corpus"
痰,tán,tan,T,phlegm; spittle,General Reference,Top 3500+,General 7000,3792.0,7445.0,3.921883332520511,99.71255824339175,2096.0,3739.0,True,True,True,"3500, 7000, corpus"
碳,tàn,tan,T,carbon (chemistry),General Reference,Top 3500+,General 7000,3817.0,7195.0,3.7901881232350667,99.72220497014999,2210.0,3992.0,True,True,True,"3500, 7000, corpus"
袒,tǎn,tan,T,to bare,Actions,Top 3500+,General 7000,3893.0,6547.0,3.448834140767197,99.74968960229354,2834.0,5343.0,True,True,True,"3500, 7000, corpus"
昙,tán,tan,T,dark clouds,General Reference,Top 3500+,General 7000,4027.0,5506.0,2.90045528930261,99.79198341339942,1443.0,2375.0,True,True,True,"3500, 7000, corpus"
堂,táng,tang,T,"(main) hall; large room for a specific purpose; CL:間|间[jian1]; relationship between cousins etc on the paternal side of a family; of the same clan; classifier for classes, lectures etc; classifier for sets of furniture",Numbers & Measures,Top 1200,General 3500,776.0,408194.0,215.02877703624947,84.8692820218455,673.0,1090.0,True,True,True,"3500, 7000, corpus"
唐,táng,tang,T,Tang dynasty (618–907); surname Tang,General Reference,Top 1200,General 3500,892.0,339749.0,178.9732626380807,87.15286904914247,557.0,804.0,True,True,True,"3500, 7000, corpus"
躺,tǎng,tang,T,to recline; to lie down,Actions,Top 1200,General 3500,1170.0,220026.0,115.90548047295606,91.12537048891349,3060.0,5802.0,True,True,True,"3500, 7000, corpus"
汤,tāng,tang,T,surname Tang,General Reference,Top 2500,General 3500,1598.0,124040.0,65.3418950390657,94.9270180444457,1715.0,2886.0,True,True,True,"3500, 7000, corpus"
趟,tàng,tang,T,to wade; to trample; to turn the soil,Actions,Top 2500,General 3500,2116.0,65492.0,34.49993058608909,97.39325120841167,3021.0,5696.0,True,True,True,"3500, 7000, corpus"
糖,táng,tang,T,"sugar; sweets; candy; CL:顆|颗[ke1],塊|块[kuai4]",General Reference,Top 2500,General 3500,2167.0,60725.0,31.98876633543425,97.56217854977315,2367.0,4311.0,True,True,True,"3500, 7000, corpus"
烫,tàng,tang,T,to scald; to burn (by scalding); to blanch (cooking); to heat (sth) up in hot water; to perm; to iron; scalding hot,Actions,Top 2500,General 3500,2465.0,41461.0,21.84086028873511,98.34752454569573,1923.0,3320.0,True,True,True,"3500, 7000, corpus"
膛,táng,tang,T,(bound form) hollow space,General Reference,Top 3500+,General 3500,2527.0,37836.0,19.931279754096177,98.47684850372084,2583.0,4730.0,True,True,True,"3500, 7000, corpus"
倘,tǎng,tang,T,used in 倘佯[chang2 yang2],General Reference,Top 3500+,General 3500,2610.0,34043.0,17.933200038817425,98.63390352196518,190.0,273.0,True,True,True,"3500, 7000, corpus"
淌,tǎng,tang,T,to drip; to trickle; to shed (tears),Actions,Top 3500+,General 3500,2622.0,33568.0,17.682979141175082,98.65528271152826,1813.0,3078.0,True,True,True,"3500, 7000, corpus"
棠,táng,tang,T,cherry-apple,General Reference,Top 3500+,General 3500,2672.0,31633.0,16.663658221305752,98.74118238677106,1608.0,2650.0,True,True,True,"3500, 7000, corpus"
塘,táng,tang,T,dyke; embankment; pool or pond; hot-water bathing pool,General Reference,Top 3500+,General 3500,2790.0,26894.0,14.16724383409088,98.92224533631203,684.0,1115.0,True,True,True,"3500, 7000, corpus"
搪,táng,tang,T,to keep out; to hold off; to ward off; to evade; to spread; to coat; to smear; to daub,Actions,Top 3500+,General 7000,3939.0,6143.0,3.2360146825619203,99.76507692322454,1344.0,2217.0,True,True,True,"3500, 7000, corpus"
逃,táo,tao,T,to escape; to run away; to flee,Actions,Top 1200,General 3500,806.0,388318.0,204.55848111721954,85.49640233446928,3122.0,5906.0,True,True,True,"3500, 7000, corpus"
讨,tǎo,tao,T,to invite; to provoke; to demand or ask for; to send armed forces to suppress; to denounce or condemn; to marry (a woman); to discuss or study,Actions,Top 1200,General 3500,991.0,282187.0,148.65070409052592,88.77080843569543,2879.0,5453.0,True,True,True,"3500, 7000, corpus"
套,tào,tao,T,"to cover; to encase; cover; sheath; to overlap; to interleave; to model after; to copy; formula; harness; loop of rope; (fig.) to fish for; to obtain slyly; classifier for sets, collections; bend (of a river or mountain range, in place names); tau (Greek letter Ττ)",Places & Movement,Top 1200,General 3500,1001.0,278641.0,146.78273924202117,88.9184685810998,735.0,1190.0,True,True,True,"3500, 7000, corpus"
桃,táo,tao,T,peach,General Reference,Top 2500,General 3500,1710.0,107204.0,56.47301286494679,95.60742176464365,1575.0,2595.0,True,True,True,"3500, 7000, corpus"
涛,tāo,tao,T,big wave; Taiwan pr. [tao2],General Reference,Top 2500,General 3500,1726.0,105605.0,55.63069030635709,95.69712295379763,1797.0,3051.0,True,True,True,"3500, 7000, corpus"
掏,tāo,tao,T,to fish out (from pocket); to scoop,Actions,Top 2500,General 3500,1752.0,102071.0,53.76904682789806,95.8392629628096,1306.0,2153.0,True,True,True,"3500, 7000, corpus"
陶,táo,tao,T,surname Tao,General Reference,Top 2500,General 3500,1809.0,95450.0,50.28123090518237,96.13507721600935,3309.0,6427.0,True,True,True,"3500, 7000, corpus"
滔,tāo,tao,T,(bound form) to inundate; deluge; torrent,Actions,Top 3500+,General 3500,2534.0,37516.0,19.762709886210807,98.4907344465879,1857.0,3174.0,True,True,True,"3500, 7000, corpus"
萄,táo,tao,T,used in 葡萄[pu2 tao5],General Reference,Top 3500+,General 3500,2719.0,29505.0,15.542668599868055,98.81672670967347,2696.0,5001.0,True,True,True,"3500, 7000, corpus"
淘,táo,tao,T,"to wash (rice, sand etc in water to remove impurities); to dredge; to scoop out (sediment or waste); (dialect) to hunt for and buy (bargains or second-hand goods); (dialect) naughty; mischievous",Business & Work,Top 3500+,General 3500,2726.0,29357.0,15.464705035971072,98.82757423334998,1815.0,3082.0,True,True,True,"3500, 7000, corpus"
特,tè,te,T,"special; unique; distinguished; especially; unusual; very; abbr. for 特克斯[te4 ke4 si1], tex",General Reference,Top 300,HSK2 Expansion,263.0,1314148.0,692.2679835681886,65.1487651735664,1972.0,3422.0,True,True,True,"3500, 7000, corpus"
腾,téng,teng,T,(bound form) to gallop; to prance; (bound form) to soar; to hover; to make room; to clear out; to vacate; (verb suffix indicating repeated action),Actions,Top 1200,General 3500,1173.0,219541.0,115.64999176694229,91.16008234343036,2577.0,4720.0,True,True,True,"3500, 7000, corpus"
疼,téng,teng,T,(it) hurts; sore; to love dearly,Actions,Top 1200,General 3500,1200.0,213129.0,112.27227303918924,91.46734928613228,2085.0,3713.0,True,True,True,"3500, 7000, corpus"
藤,téng,teng,T,rattan; cane; vine,General Reference,Top 2500,General 3500,2162.0,61231.0,32.25531743902799,97.54613928487811,2746.0,5136.0,True,True,True,"3500, 7000, corpus"
誊,téng,teng,T,to transcribe; to copy out,Actions,Top 3500+,General 7000,5019.0,1318.0,0.6942971433528586,99.94628626516034,2871.0,5441.0,True,True,True,"3500, 7000, corpus"
体,tǐ,ti,T,used in 體己|体己[ti1 ji5]; Taiwan pr. [ti3],General Reference,Top 300,HSK2 Expansion,195.0,1799811.0,948.1059452769742,59.661743962957225,146.0,185.0,True,True,True,"3500, 7000, corpus"
提,tí,ti,T,used in 提防[di1 fang5] and 提溜[di1 liu5],General Reference,Top 600,HSK3 Expansion,348.0,1026285.0,540.6272714460459,70.36004084785036,1325.0,2183.0,True,True,True,"3500, 7000, corpus"
题,tí,ti,T,surname Ti,General Reference,Top 600,HSK3 Expansion,364.0,976178.0,514.2318640393831,71.20059637279995,3388.0,6573.0,True,True,True,"3500, 7000, corpus"
替,tì,ti,T,to substitute for; to take the place of; to replace; for; on behalf of; to stand in for,Places & Movement,Top 1200,General 3500,1178.0,218469.0,115.08528270952631,91.21769325558161,1484.0,2448.0,True,True,True,"3500, 7000, corpus"
踢,tī,ti,T,to kick; to play (e.g. soccer); (slang) butch (in a lesbian relationship),Actions,Top 2500,General 3500,1651.0,115921.0,61.06496142231163,95.26087398651194,3042.0,5747.0,True,True,True,"3500, 7000, corpus"
梯,tī,ti,T,(bound form) ladder; stairs,General Reference,Top 2500,General 3500,1709.0,107297.0,56.52200348280097,95.60177446335715,1597.0,2634.0,True,True,True,"3500, 7000, corpus"
蹄,tí,ti,T,hoof; pig's trotters,General Reference,Top 3500+,General 3500,2510.0,38922.0,20.503363743232143,98.44247057557664,3047.0,5763.0,True,True,True,"3500, 7000, corpus"
惕,tì,ti,T,fearful; respectful,General Reference,Top 3500+,General 3500,2778.0,27307.0,14.384804319830435,98.90513570543399,1117.0,1876.0,True,True,True,"3500, 7000, corpus"
涕,tì,ti,T,tears; nasal mucus,General Reference,Top 3500+,General 3500,2873.0,24195.0,12.745462354645232,99.03402791388498,1796.0,3049.0,True,True,True,"3500, 7000, corpus"
啼,tí,ti,T,(bound form) to cry; to weep loudly; (bound form) (of a bird or animal) to crow; to hoot; to screech,Actions,Top 3500+,General 3500,2954.0,21533.0,11.343171766173828,99.13138486162327,576.0,850.0,True,True,True,"3500, 7000, corpus"
剔,tī,ti,T,to scrape the meat from bones; to pick (teeth etc); to weed out,Actions,Top 3500+,General 3500,2968.0,21278.0,11.208842652702677,99.1471670047917,332.0,475.0,True,True,True,"3500, 7000, corpus"
屉,tì,ti,T,drawer; tier; tray,General Reference,Top 3500+,General 3500,3174.0,16514.0,8.699258744559263,99.3509818820792,888.0,1451.0,True,True,True,"3500, 7000, corpus"
剃,tì,ti,T,to shave,Actions,Top 3500+,General 3500,3469.0,10941.0,5.763509139168154,99.55931632823706,328.0,468.0,True,True,True,"3500, 7000, corpus"
天,tiān,tian,T,day; sky; heaven,Time,Top 100,Zero Beginner,46.0,6797499.0,3580.7922136903744,34.35462051535538,713.0,1163.0,True,True,True,"3500, 7000, corpus"
田,tián,tian,T,surname Tian,General Reference,Top 1200,General 3500,891.0,339958.0,179.08335983304335,87.13497172287866,2053.0,3651.0,True,True,True,"3500, 7000, corpus"
甜,tián,tian,T,sweet,General Reference,Top 2500,General 3500,1431.0,156743.0,82.56920875611314,93.69546202435362,2047.0,3642.0,True,True,True,"3500, 7000, corpus"
添,tiān,tian,T,to add; to increase; to replenish,Actions,Top 2500,General 3500,2045.0,69960.0,36.85358736643853,97.14065184261149,1824.0,3097.0,True,True,True,"3500, 7000, corpus"
填,tián,tian,T,to fill or stuff; (of a form etc) to fill in,Actions,Top 2500,General 3500,2346.0,47816.0,25.188552508771085,98.06900961715348,686.0,1118.0,True,True,True,"3500, 7000, corpus"
舔,tiǎn,tian,T,to lick; to lap,Actions,Top 3500+,General 3500,2801.0,26424.0,13.919656840634246,98.93770677530681,2603.0,4767.0,True,True,True,"3500, 7000, corpus"
恬,tián,tian,T,quiet; calm; tranquil; peaceful,General Reference,Top 3500+,General 3500,3170.0,16632.0,8.761418883341992,99.34749043136871,1092.0,1830.0,True,True,True,"3500, 7000, corpus"
条,tiáo,tiao,T,"strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc)",Places & Movement,Top 600,HSK3 Expansion,389.0,925439.0,487.50353114364657,72.44687038609123,1519.0,2492.0,True,True,True,"3500, 7000, corpus"
跳,tiào,tiao,T,to jump; to hop; to skip over; to bounce; to palpitate,Actions,Top 1200,General 3500,622.0,532527.0,280.5250188605977,81.075131769222,3036.0,5729.0,True,True,True,"3500, 7000, corpus"
挑,tiāo,tiao,T,to carry on a shoulder pole; to choose; to pick; to nitpick,Actions,Top 1200,General 3500,1085.0,245886.0,129.52803292144233,90.07751590554149,1265.0,2097.0,True,True,True,"3500, 7000, corpus"
笤,tiáo,tiao,T,broom,General Reference,Top 3500+,General 7000,5182.0,1028.0,0.5415307005817441,99.95629278323042,2312.0,4179.0,True,True,True,"3500, 7000, corpus"
铁,tiě,tie,T,surname Tie,General Reference,Top 1200,General 3500,630.0,520031.0,273.9423655196741,81.29608835834053,3216.0,6168.0,True,True,True,"3500, 7000, corpus"
贴,tiē,tie,T,to stick; to paste; to post (e.g. on a blog); to keep close to; to fit snugly; to subsidize; allowance (e.g. money for food or housing); sticker; classifier for sticking plaster: strip,Business & Work,Top 2500,General 3500,1371.0,169181.0,89.12130880848254,93.18054429166426,2981.0,5633.0,True,True,True,"3500, 7000, corpus"
帖,tiē,tie,T,fitting snugly; appropriate; suitable; to paste; to obey,Actions,Top 3500+,General 3500,2704.0,30180.0,15.898245664938752,98.79323175755613,951.0,1585.0,True,True,True,"3500, 7000, corpus"
听,tīng,ting,T,smile (archaic),Actions,Top 300,HSK1 Core,146.0,2449553.0,1290.3775799631449,54.27298839703041,491.0,684.0,True,True,True,"3500, 7000, corpus"
停,tíng,ting,T,to stop; to halt; to park (a car),Actions,Top 600,HSK3 Expansion,490.0,715545.0,376.935394112611,76.78024019372974,203.0,299.0,True,True,True,"3500, 7000, corpus"
厅,tīng,ting,T,(reception) hall; living room; office; provincial government department,Places & Movement,Top 1200,General 3500,965.0,297396.0,156.66251384261514,88.37306419763212,415.0,594.0,True,True,True,"3500, 7000, corpus"
挺,tǐng,ting,T,straight; erect; to stick out (a part of the body); to (physically) straighten up; to support; to withstand; outstanding; (coll.) quite; very; classifier for machine guns,Actions,Top 1200,General 3500,1028.0,269816.0,142.13389835424502,89.30829477640002,1278.0,2117.0,True,True,True,"3500, 7000, corpus"
庭,tíng,ting,T,main hall; front courtyard; law court,General Reference,Top 2500,General 3500,1210.0,211391.0,111.35672794423684,91.57914761445228,991.0,1648.0,True,True,True,"3500, 7000, corpus"
廷,tíng,ting,T,palace courtyard,General Reference,Top 2500,General 3500,1559.0,132059.0,69.56615057210558,94.6646457878768,1000.0,1668.0,True,True,True,"3500, 7000, corpus"
亭,tíng,ting,T,pavilion; booth; kiosk; erect,General Reference,Top 2500,General 3500,2018.0,72135.0,37.999335687221894,97.03973275017441,84.0,96.0,True,True,True,"3500, 7000, corpus"
艇,tǐng,ting,T,(bound form) boat; craft (esp. small or naval),General Reference,Top 2500,General 3500,2267.0,52284.0,27.542209289120535,97.86089536538556,2614.0,4790.0,True,True,True,"3500, 7000, corpus"
蜓,tíng,ting,T,see 蜻蜓[qing1 ting2],Actions,Top 3500+,General 7000,3821.0,7149.0,3.7659562047265456,99.72371456599498,2788.0,5230.0,True,True,True,"3500, 7000, corpus"
同,tóng,tong,T,like; same; similar; together; alike; with,People & Pronouns,Top 300,HSK1 Core,134.0,2614683.0,1377.364899600366,52.66264371516268,472.0,663.0,True,True,True,"3500, 7000, corpus"
通,tōng,tong,T,"to go through; to know well; (suffix) expert; to connect; to communicate; open; to clear; classifier for letters, telegrams, phone calls etc",Time,Top 300,HSK2 Expansion,297.0,1186869.0,625.2198453976206,67.39552811322389,3131.0,5921.0,True,True,True,"3500, 7000, corpus"
痛,tòng,tong,T,ache; pain; sorrow; deeply; thoroughly,General Reference,Top 600,HSK3 Expansion,528.0,653298.0,344.14486734304694,78.14226339161962,2093.0,3729.0,True,True,True,"3500, 7000, corpus"
统,tǒng,tong,T,to gather; to unite; to unify; whole,Actions,Top 1200,General 3500,653.0,503061.0,265.00289471337817,81.91491445400544,2420.0,4396.0,True,True,True,"3500, 7000, corpus"
童,tóng,tong,T,surname Tong,General Reference,Top 2500,General 3500,1273.0,192039.0,101.16246518386922,92.24827406316675,2301.0,4157.0,True,True,True,"3500, 7000, corpus"
铜,tóng,tong,T,copper (chemistry); see also 紅銅|红铜[hong2 tong2]; CL:塊|块[kuai4],Question & Function,Top 2500,General 3500,2003.0,73454.0,38.6941596114119,96.98236642236584,3222.0,6190.0,True,True,True,"3500, 7000, corpus"
筒,tǒng,tong,T,tube; cylinder; to encase in sth cylindrical (such as hands in sleeves etc),Actions,Top 2500,General 3500,2243.0,54584.0,28.753805214546613,97.79327382627376,2322.0,4201.0,True,True,True,"3500, 7000, corpus"
桶,tǒng,tong,T,"bucket; (trash) can; barrel (of oil etc); CL:個|个[ge4],隻|只[zhi1]",General Reference,Top 2500,General 3500,2303.0,49900.0,26.286363773374543,97.95791222341538,1587.0,2620.0,True,True,True,"3500, 7000, corpus"
彤,tóng,tong,T,surname Tong,General Reference,Top 2500,General 3500,2386.0,45357.0,23.893198430239465,98.1669773145943,1024.0,1708.0,True,True,True,"3500, 7000, corpus"
瞳,tóng,tong,T,pupil of the eye,General Reference,Top 3500+,General 3500,2512.0,38812.0,20.445417851146548,98.44656482159907,2167.0,3897.0,True,True,True,"3500, 7000, corpus"
桐,tóng,tong,T,"tree name (variously Paulownia, Firmiana or Aleurites)",General Reference,Top 3500+,General 3500,2539.0,37139.0,19.56411351060836,98.50056159578284,1580.0,2604.0,True,True,True,"3500, 7000, corpus"
捅,tǒng,tong,T,to poke; to jab; to give (sb) a nudge; to prod; to disclose; to reveal,Actions,Top 3500+,General 3500,2834.0,25436.0,13.399197373538174,98.98285679211165,1281.0,2121.0,True,True,True,"3500, 7000, corpus"
头,tóu,tou,T,head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock; CL:個|个[ge4],Numbers & Measures,Top 100,Zero Beginner,65.0,4813712.0,2535.771237119405,40.12137989228868,720.0,1171.0,True,True,True,"3500, 7000, corpus"
投,tóu,tou,T,"to throw (sth in a specific direction: ball, javelin, grenade etc); to cast (a ballot); to cast (a glance, a shadow etc); to put in (money for investment, a coin to operate a slot machine); to send (a letter, a manuscript etc); to throw oneself into (a river, a well etc to commit suicide); to go to; to seek refuge; to place oneself into the hands of; (coll.) to rinse (clothes) in water",Business & Work,Top 1200,General 3500,841.0,373978.0,197.00444391260652,86.19968867673941,1206.0,2024.0,True,True,True,"3500, 7000, corpus"
偷,tōu,tou,T,to steal; to pilfer; to snatch; thief; stealthily,Actions,Top 1200,General 3500,860.0,359993.0,189.63741390517882,86.56541986387067,206.0,304.0,True,True,True,"3500, 7000, corpus"
透,tòu,tou,T,(bound form) to penetrate; to seep through; to tell secretly; to leak; thoroughly; through and through; to appear; to show,Actions,Top 1200,General 3500,897.0,336303.0,177.15797587329016,87.24191829433244,3126.0,5914.0,True,True,True,"3500, 7000, corpus"
